date,description,amount,category
2025-02-01,Groceries,245.30,Groceries
2025-02-02,Restaurant,19.40,Food
2025-02-02,International Transfer,1800.00,Unknown
2025-02-02,International Transfer,1800.00,Unknown
2025-02-03,ATM Withdrawal,500.00,Cash
2025-02-03,ATM Withdrawal,500.00,Cash
2025-02-03,Cryptocurrency Purchase,2950.00,Investment
2025-02-04,Online Gaming Top-Up,150.00,Entertainment
2025-02-05,Payment to "M.K Co.",975.00,Unknown
2025-02-06,Fast Food,7.80,Food
2025-02-06,Fast Food,7.80,Food
2025-02-07,Streaming Subscription,9.99,Subscriptions
2025-02-07,Streaming Subscription,9.99,Subscriptions
2025-02-09,Taxi Ride,12.75,Transport
2025-02-10,Electronics Purchase,3499.00,Shopping
2025-02-11,Money Transfer to Unknown Number,650.00,Unknown
2025-02-12,Restaurant,14.00,Food
2025-02-12,Restaurant,14.00,Food
2025-02-13,ATM Withdrawal at 02:43,700.00,Cash
2025-02-14,Gift Shop,220.00,Shopping
2025-02-15,Overseas Online Purchase,1999.99,Shopping
2025-02-16,Cryptocurrency Purchase,5100.00,Investment
