date,description,amount,category
2025-01-02,Supermarket Purchase,45.30,Groceries
2025-01-03,Restaurant Payment,18.50,Food
2025-01-04,Online Subscription,9.99,Subscriptions
2025-01-05,Utility Bill,65.00,Utilities
2025-01-06,Coffee Shop,3.50,Food
2025-01-08,Electronics Store,250.00,Shopping
2025-01-09,Taxi Ride,12.75,Transport
2025-01-10,Supermarket Purchase,52.10,Groceries
2025-01-11,Monthly Rent,600.00,Housing
2025-01-12,Online Subscription,9.99,Subscriptions
2025-01-14,Fast Food,8.20,Food
2025-01-15,Electricity Bill,70.00,Utilities
2025-01-17,Online Electronics Purchase,799.99,Shopping
2025-01-18,Unknown Transfer,-150.00,Unknown
2025-01-19,Gift Shop,22.00,Shopping
2025-01-20,Restaurant Payment,19.30,Food
2025-01-21,Coffee Shop,3.20,Food
2025-01-22,Supermarket Purchase,47.80,Groceries
2025-01-23,ATM Withdrawal,300.00,Cash
2025-01-24,Cryptocurrency Purchase,1200.00,Investment

